    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     145        -845.0922        4368.0864         552.4861         363.6246         502.1052         791.7285         273.4355        -209.3779        -116.4086
     146        -845.0955        4368.0864         547.1170         358.5640         501.9105         780.8765         277.0417        -207.3019        -118.4389
     147        -845.0996        4368.0864         540.7121         361.3862         485.7515         774.9986         272.4215        -211.2025        -109.5711
     148        -845.1045        4368.0864         532.3586         348.9167         493.2975         754.8615         276.7221        -206.1971        -116.4473
     149        -845.1104        4368.0864         524.3546         347.6685         483.0291         742.3662         280.5390        -206.2589        -113.2650
     150        -845.1172        4368.0864         514.7180         340.1182         483.6758         720.3599         274.7676        -205.7739        -111.5334
     151        -845.1248        4368.0864         501.7741         331.9150         470.1090         703.2983         302.0325        -199.8297        -117.8185
     152        -845.1296        4368.0864         487.3921         326.5294         485.3452         650.3018         230.9310        -212.8875         -95.6233
     153        -845.1346        4368.0864         486.3730         321.2096         470.0933         667.8161         286.2346        -203.8329        -111.6927
     154        -845.1313        4368.0864         490.3786         321.4169         460.3850         689.3337         335.6286        -190.1641        -128.2154
     155        -845.1332        4368.0864         489.3837         322.5977         462.8315         682.7220         323.6639        -193.7221        -124.1846
     156        -845.1350        4368.0864         488.1592         324.6952         467.6312         672.1511         302.5851        -199.3980        -117.2473
     157        -845.1354        4368.0864         487.5890         326.9836         474.2032         661.5804         277.6037        -205.0310        -109.3163
     158        -845.1355        4368.0864         487.6077         326.7881         474.0938         661.9410         278.1674        -204.8156        -109.5182
     159        -845.1355        4368.0864         487.6516         326.4253         473.8988         662.6307         279.2607        -204.3962        -109.9100
     160        -845.1356        4368.0864         487.7144         325.9057         473.6310         663.6066         280.8082        -203.8052        -110.4651
     161        -845.1357        4368.0864         487.7994         325.2958         473.3078         664.7947         282.6930        -203.0714        -111.1482
     162        -845.1357        4368.0864         487.9016         324.6544         472.9677         666.0829         284.7709        -202.2637        -111.8945
     163        -845.1359        4368.0864         488.0147         324.0657         472.6507         667.3278         286.8469        -201.4550        -112.6401
     164        -845.1359        4368.0864         488.1291         323.6002         472.4054         668.3817         288.7093        -200.7324        -113.3159
     165        -845.1360        4368.0864         488.2411         323.3031         472.2562         669.1639         290.3152        -200.1130        -113.8907
     166        -845.1362        4368.0864         488.3174         323.2656         472.2332         669.4534         291.3784        -199.7093        -114.2578
     167        -845.1364        4368.0864         488.3421         323.5621         472.4020         669.0623         291.6589        -199.6388        -114.3275
     168        -845.1366        4368.0864         488.2729         324.1920         472.7933         667.8336         290.9499        -199.9702        -114.0123
     169        -845.1370        4368.0864         488.0718         325.0729         473.3965         665.7460         289.2392        -200.6794        -113.3021
     170        -845.1373        4368.0864         487.7058         325.9281         474.1176         663.0717         286.8666        -201.6098        -112.3254
     171        -845.1377        4368.0864         487.1306         326.3152         474.7070         660.3699         284.7260        -202.3899        -111.4135
     172        -845.1383        4368.0864         486.3166         325.7613         474.8748         658.3137         283.9882        -202.5713        -111.0012
     173        -845.1389        4368.0864         485.2328         324.2102         474.3366         657.1514         285.4519        -201.8921        -111.4072
     174        -845.1398        4368.0864         483.8660         322.1798         473.1216         656.2966         288.7874        -200.5458        -112.5237
     175        -845.1407        4368.0864         482.2276         320.8734         471.8195         653.9900         291.7303        -199.4866        -113.4855
     176        -845.1419        4368.0864         480.3662         320.9927         471.3064         648.7996         291.5538        -199.6870        -113.1887
     177        -845.1434        4368.0864         478.3778         321.3752         471.9253         641.8327         288.3513        -200.8132        -111.6162
     178        -845.1451        4368.0864         476.2908         319.6153         472.5363         636.7208         287.3416        -200.6898        -110.8541
     179        -845.1473        4368.0864         473.7188         316.5318         471.4351         633.1898         292.0491        -198.5128        -112.4355
     180        -845.1499        4368.0864         470.0531         316.2033         469.8846         624.0715         294.8398        -197.7486        -113.2269
     181        -845.1531        4368.0864         465.3315         314.5188         470.6140         610.8617         290.3939        -199.1416        -110.7320
     182        -845.1569        4368.0864         460.3247         307.7426         469.5704         603.6610         295.5613        -196.2654        -112.8508
     183        -845.1614        4368.0864         455.0103         313.2315         468.1624         583.6370         296.8166        -197.1570        -113.2826
     184        -845.1667        4368.0864         449.7512         293.9788         473.9543         581.3205         294.6178        -193.3702        -111.3951
     185        -845.1725        4368.0864         439.0479         344.7994         455.9286         516.4155         309.2776        -201.1138        -122.5202
     186        -845.1747        4368.0864         435.9554         162.1858         502.0330         643.6473         276.5378        -166.3593         -84.4287
     187        -845.1805        4368.0864         425.7638         303.6478         457.2072         516.4362         303.2690        -195.1851        -118.3519
     188        -845.1805        4368.0864         426.2080         301.4739         458.0159         519.1343         303.0065        -194.2623        -117.3062
     189        -845.1807        4368.0864         427.0213         297.8352         459.4694         523.7595         302.5696        -192.6910        -115.5311
     190        -845.1808        4368.0864         428.0193         294.0287         461.2182         528.8108         302.1123        -191.0159        -113.6048
     191        -845.1809        4368.0864         428.9613         291.5436         462.8263         532.5139         301.8338        -189.8565        -112.2090
     192        -845.1812        4368.0864         429.6179         291.4302         463.8926         533.5309         301.8713        -189.6440        -111.8640
     193        -845.1815        4368.0864         429.8435         293.7729         464.2174         531.5403         302.2352        -190.4219        -112.6522
     194        -845.1817        4368.0864         429.5925         297.6450         463.8074         527.3251         302.8424        -191.8357        -114.1920
     195        -845.1821        4368.0864         428.8519         301.7031         462.8043         522.0482         303.5380        -193.3503        -115.9663
     196        -845.1826        4368.0864         427.7153         303.2599         461.6099         518.2762         304.0284        -193.9430        -116.8495
     197        -845.1831        4368.0864         426.2877         300.1905         460.6858         517.9869         304.0825        -192.9028        -116.0161
     198        -845.1840        4368.0864         424.6515         293.6540         460.1862         520.1142         303.8380        -190.7804        -113.9273
     199        -845.1848        4368.0864         422.6018         289.2903         459.3974         519.1177         303.9486        -189.7117        -112.8437
     200        -845.1860        4368.0864         420.2115         291.9859         457.5398         511.1087         304.9195        -191.0382        -114.6106
     201        -845.1874        4368.0864         418.0402         296.3347         455.4218         502.3640         306.0804        -192.1187        -116.6138
     202        -845.1892        4368.0864         416.3743         291.1224         455.1632         502.8372         306.3140        -189.4805        -114.4562
     203        -845.1913        4368.0864         413.4751         285.1970         455.1497         500.0786         306.9789        -188.3190        -113.0274
     204        -845.1939        4368.0864         407.7708         291.7088         450.5041         481.0995         309.3064        -191.4457        -117.5127
     205        -845.1971        4368.0864         403.0488         278.2105         448.3021         482.6337         309.4743        -185.6564        -112.8603
     206        -845.2009        4368.0864         396.9844         289.6100         447.1851         454.1581         313.2488        -193.4562        -120.5976
     207        -845.2051        4368.0864         395.1336         256.8777         442.7695         485.7537         310.1355        -168.8411        -104.3246
     208        -845.2079        4368.0864         377.8628         341.5713         447.6108         344.4061         327.2495        -237.7645        -152.8971
     209        -845.2109        4368.0864         383.5366         274.6465         440.1723         435.7909         317.1463        -184.9907        -118.5253
     210        -845.2089        4368.0864         391.5455         215.4027         436.8460         522.3878         306.5074        -136.8642         -85.8158
     211        -845.2100        4368.0864         389.4072         230.1878         437.6624         500.3714         309.2317        -149.2781         -93.9059
     212        -845.2111        4368.0864         386.0126         256.2108         439.4777         462.3491         313.8758        -170.7686        -107.9562
     213        -845.2114        4368.0864         382.6006         286.8787         442.2560         418.6673         319.0819        -195.4189        -124.2395
     214        -845.2114        4368.0864         382.6872         286.1317         442.2139         419.7161         318.9421        -194.7614        -123.8687
     215        -845.2114        4368.0864         382.8604         284.6803         442.1380         421.7630         318.6741        -193.4704        -123.1348
     216        -845.2115        4368.0864         383.0995         282.6248         442.0283         424.6455         318.3053        -191.6534        -122.1043
     217        -845.2115        4368.0864         383.4048         280.1274         441.9123         428.1745         317.8468        -189.4423        -120.8418
     218        -845.2116        4368.0864         383.7340         277.3884         441.7798         432.0339         317.3439        -187.0054        -119.4566
     219        -845.2116        4368.0864         384.0829         274.6873         441.6817         435.8797         316.8501        -184.5939        -118.0777
     220        -845.2117        4368.0864         384.4068         272.3069         441.6180         439.2956         316.4122        -182.4444        -116.8442
     221        -845.2118        4368.0864         384.6833         270.3029         441.5948         442.1522         316.0604        -180.6365        -115.8016
     222        -845.2118        4368.0864         384.8752         269.0669         441.6457         443.9130         315.8508        -179.4890        -115.1318
     223        -845.2120        4368.0864         384.9273         268.9430         441.7758         444.0632         315.8675        -179.3241        -115.0104
     224        -845.2122        4368.0864         384.7979         270.1988         442.0018         442.1929         316.1603        -180.3464        -115.6048
     225        -845.2124        4368.0864         384.4480         272.8027         442.2945         438.2468         316.7478        -182.5534        -116.9090
     226        -845.2126        4368.0864         383.9182         276.2389         442.6079         432.9077         317.5407        -185.4704        -118.6905
     227        -845.2129        4368.0864         383.3048         279.2378         442.8411         427.8354         318.3159        -187.9969        -120.3554
     228        -845.2132        4368.0864         382.7320         280.1744         442.8275         425.1941         318.7839        -188.7694        -121.1097
     229        -845.2136        4368.0864         382.2777         277.9763         442.4713         426.3854         318.7401        -186.9350        -120.3983
     230        -845.2142        4368.0864         381.9071         273.2849         441.8431         430.5934         318.2687        -183.1319        -118.4681
     231        -845.2149        4368.0864         381.3160         269.3619         441.2213         433.3648         317.9774        -180.2076        -116.8588
     232        -845.2157        4368.0864         380.1476         269.9587         440.9550         429.5289         318.6104        -181.2429        -117.4883
     233        -845.2167        4368.0864         378.4423         274.6644         440.9598         419.7027         320.1380        -185.4436        -120.3128
     234        -845.2178        4368.0864         376.9740         276.0778         440.8198         414.0244         321.2462        -186.2701        -121.7696
     235        -845.2193        4368.0864         375.9980         269.8056         440.0247         418.1637         320.9963        -180.7822        -119.4580
     236        -845.2210        4368.0864         374.1299         266.9454         439.2359         416.2082         321.4177        -179.2854        -118.6159
     237        -845.2232        4368.0864         370.4759         273.3243         438.7929         399.3105         324.1265        -185.2652        -123.0533
     238        -845.2258        4368.0864         367.6839         265.0984         437.0148         400.9387         324.5142        -178.0976        -121.0499
     239        -845.2289        4368.0864         363.9855         265.7699         436.2289         389.9577         326.0807        -181.6359        -121.6974
     240        -845.2327        4368.0864         360.0481         266.8610         435.8076         377.4758         330.2050        -176.9514        -125.6732
     241        -845.2371        4368.0864         357.4809         258.6864         433.5974         380.1589         325.9688        -185.3171        -114.0286
     242        -845.2408        4368.0864         348.2798         293.8541         437.8274         313.1580         356.4940        -152.6154        -159.0112
     243        -845.2300        4368.0864         365.4522         185.1689         423.7662         487.4216         261.3973        -261.1652         -12.9331
     244        -845.2472        4368.0864         337.5382         280.9992         437.3752         294.2403         363.6183        -154.3023        -158.3438
     245        -845.2478        4368.0864         339.1823         276.1270         435.1692         306.2509         355.8002        -161.0089        -149.0530
     246        -845.2485        4368.0864         342.4093         268.3993         431.7810         327.0477         342.5312        -172.3828        -133.2489
     247        -845.2485        4368.0864         346.8683         261.3636         429.0220         350.2192         328.3717        -184.5944        -116.1668
     248        -845.2485        4368.0864         346.8173         261.9637         429.3682         349.1200         329.1697        -183.9387        -117.0621
     249        -845.2487        4368.0864         346.7255         263.1297         430.0390         347.0077         330.6947        -182.6954        -118.7670
     250        -845.2487        4368.0864         346.6194         264.7880         430.9969         344.0732         332.8231        -180.9531        -121.1577
     251        -845.2488        4368.0864         346.5196         266.8052         432.1672         340.5863         335.3683        -178.8751        -124.0099
     252        -845.2489        4368.0864         346.4696         268.9980         433.4714         336.9393         338.0475        -176.6734        -127.0397
     253        -845.2489        4368.0864         346.4965         271.1375         434.7541         333.5979         340.5278        -174.6221        -129.8678
     254        -845.2490        4368.0864         346.6128         272.9570         435.8738         331.0075         342.4755        -173.0073        -132.1145
     255        -845.2490        4368.0864         346.8577         274.4031         436.8335         329.3365         343.7884        -171.9051        -133.6738
     256        -845.2491        4368.0864         347.2292         275.2430         437.4869         328.9578         344.1625        -171.5715        -134.1925
     257        -845.2493        4368.0864         347.7213         275.2601         437.7215         330.1823         343.3938        -172.2012        -133.4018
     258        -845.2495        4368.0864         348.3041         274.3826         437.4790         333.0508         341.4144        -173.8464        -131.2191
     259        -845.2497        4368.0864         348.8677         272.7612         436.8008         337.0411         338.5778        -176.2628        -127.9621
     260        -845.2499        4368.0864         349.2132         271.0281         435.9934         340.6182         335.9072        -178.6230        -124.7402
     261        -845.2502        4368.0864         349.0742         270.0982         435.4828         341.6417         334.8318        -179.7480        -123.1895
