,gas,label,index,energy
297,C2IF5,HFonADDI,4,-0.15811658018669
298,C2IF5,HFonADDI,5,-0.25691658018669
299,C2IF5,HFonADDI,6,-0.23021658018669
300,C2IF5,HFonADDI,7,-0.23941658018669
301,C2IF5,HFonADDI,8,-0.15351658018669
302,C2IF5,HFonADDI,9,-0.24671658018669
303,C2IF5,HFonADDI,mean,-0.21858658018669003
304,C2IF5,HFonADDI,min,-0.27211658018669
305,C2IF5,HFonADDI,max,-0.11441658018669
306,C2IF5,HFonADDI,range,0.1577
307,C2IF5,ADDIonHF,0,-0.310402656645
308,C2IF5,ADDIonHF,1,-0.315502656645
309,C2IF5,ADDIonHF,2,-0.101402656645
310,C2IF5,ADDIonHF,3,-0.165102656645
311,C2IF5,ADDIonHF,4,-0.032702656645
312,C2IF5,ADDIonHF,5,-0.248302656645
313,C2IF5,ADDIonHF,6,-0.295602656645
314,C2IF5,ADDIonHF,7,-0.375102656645
315,C2IF5,ADDIonHF,8,-0.309402656645
316,C2IF5,ADDIonHF,9,-0.376302656645
317,C2IF5,ADDIonHF,mean,-0.252982656645
318,C2IF5,ADDIonHF,min,-0.376302656645
319,C2IF5,ADDIonHF,max,-0.032702656645
320,C2IF5,ADDIonHF,range,0.3436
321,C2IF5,bareSurface,0,-0.359802656645
322,C2IF5,bareSurface,1,-0.350602656645
323,C2IF5,bareSurface,2,-0.410002656645
324,C2IF5,bareSurface,3,-0.429302656645
325,C2IF5,bareSurface,4,-0.454002656645
326,C2IF5,bareSurface,5,-0.375502656645
327,C2IF5,bareSurface,6,-0.233802656645
328,C2IF5,bareSurface,7,-0.389402656645
329,C2IF5,bareSurface,8,-0.411702656645
330,C2IF5,bareSurface,9,1.103697343355
331,C2IF5,bareSurface,mean,-0.23104265664500004
332,C2IF5,bareSurface,min,-0.454002656645
333,C2IF5,bareSurface,max,1.103697343355
334,C2IF5,bareSurface,range,1.5576999999999999
335,CF3I,ADDIonADDI,0,-0.3631392190272
336,CF3I,ADDIonADDI,1,-0.4077392190272
337,CF3I,ADDIonADDI,2,-0.3903392190272
338,CF3I,ADDIonADDI,3,-0.4154392190272
339,CF3I,ADDIonADDI,4,-0.2663392190272
340,CF3I,ADDIonADDI,5,-0.4095392190272
341,CF3I,ADDIonADDI,6,-0.3981392190272
342,CF3I,ADDIonADDI,7,-0.4765392190272
343,CF3I,ADDIonADDI,8,-0.4192392190272
344,CF3I,ADDIonADDI,9,-0.4981392190272
345,CF3I,ADDIonADDI,mean,-0.40445921902719995
346,CF3I,ADDIonADDI,min,-0.4981392190272
347,CF3I,ADDIonADDI,max,-0.2663392190272
348,CF3I,ADDIonADDI,range,0.2318
349,CF3I,HFonADDI,0,-0.03631658018669
350,CF3I,HFonADDI,1,-0.27271658018669
351,CF3I,HFonADDI,2,-0.26121658018669
352,CF3I,HFonADDI,3,-0.21821658018669
353,CF3I,HFonADDI,4,-0.15441658018669
354,CF3I,HFonADDI,5,-0.22581658018669
355,CF3I,HFonADDI,6,-0.25141658018669
356,CF3I,HFonADDI,7,-0.19481658018669
357,CF3I,HFonADDI,8,-0.14111658018669
358,CF3I,HFonADDI,9,-0.18791658018669
359,CF3I,HFonADDI,mean,-0.19439658018668998
360,CF3I,HFonADDI,min,-0.27271658018669
361,CF3I,HFonADDI,max,-0.03631658018669
362,CF3I,HFonADDI,range,0.2364
363,CF3I,ADDIonHF,0,-0.4007392190272
364,CF3I,ADDIonHF,1,-0.3069392190272
365,CF3I,ADDIonHF,2,-0.3888392190272
366,CF3I,ADDIonHF,3,-0.3301392190272
367,CF3I,ADDIonHF,4,-0.4071392190272
368,CF3I,ADDIonHF,5,-0.1641392190272
369,CF3I,ADDIonHF,6,-0.3355392190272
370,CF3I,ADDIonHF,7,-0.2970392190272
371,CF3I,ADDIonHF,8,-0.3196392190272
372,CF3I,ADDIonHF,9,-0.4090392190272
373,CF3I,ADDIonHF,mean,-0.33591921902719996
374,CF3I,ADDIonHF,min,-0.4090392190272
375,CF3I,ADDIonHF,max,-0.1641392190272
376,CF3I,ADDIonHF,range,0.24489999999999998
377,CF3I,bareSurface,0,-0.4089392190272
378,CF3I,bareSurface,1,-0.4711392190272
379,CF3I,bareSurface,2,-0.4409392190272
380,CF3I,bareSurface,3,-0.4575392190272
381,CF3I,bareSurface,4,-0.3859392190272
382,CF3I,bareSurface,5,-0.4304392190272
383,CF3I,bareSurface,6,-0.5233392190272
384,CF3I,bareSurface,7,-0.4128392190272
385,CF3I,bareSurface,8,-0.4348392190272
386,CF3I,bareSurface,9,-0.4103392190272
387,CF3I,bareSurface,mean,-0.43762921902720003
388,CF3I,bareSurface,min,-0.5233392190272
389,CF3I,bareSurface,max,-0.3859392190272
390,CF3I,bareSurface,range,0.13740000000000002
391,ClF5,ADDIonADDI,0,0.2367294408348
392,ClF5,ADDIonADDI,1,-0.0672705591652
393,ClF5,ADDIonADDI,2,-0.0230705591652
394,ClF5,ADDIonADDI,3,0.1347294408348
395,ClF5,ADDIonADDI,4,0.2162294408348
396,ClF5,ADDIonADDI,5,0.0575294408348
397,ClF5,ADDIonADDI,6,0.2115294408348
398,ClF5,ADDIonADDI,7,-0.0161705591652
399,ClF5,ADDIonADDI,8,-0.0360705591652
400,ClF5,ADDIonADDI,9,-0.0726705591652
401,ClF5,ADDIonADDI,mean,0.0641494408348
402,ClF5,ADDIonADDI,min,-0.0726705591652
403,ClF5,ADDIonADDI,max,0.2367294408348
404,ClF5,ADDIonADDI,range,0.3094
405,ClF5,HFonADDI,0,-0.52741658018669
406,ClF5,HFonADDI,1,-0.53061658018669
407,ClF5,HFonADDI,2,-0.53281658018669
408,ClF5,HFonADDI,3,-0.49691658018669
409,ClF5,HFonADDI,4,-0.48111658018669
410,ClF5,HFonADDI,5,-0.47931658018669
411,ClF5,HFonADDI,6,-0.49961658018669
412,ClF5,HFonADDI,7,-0.48971658018669
413,ClF5,HFonADDI,8,-0.46541658018669
414,ClF5,HFonADDI,9,-0.51381658018669
415,ClF5,HFonADDI,mean,-0.50167658018669
416,ClF5,HFonADDI,min,-0.53281658018669
417,ClF5,HFonADDI,max,-0.46541658018669
418,ClF5,HFonADDI,range,0.06739999999999996
419,ClF5,ADDIonHF,0,5.0891294408348
420,ClF5,ADDIonHF,1,5.1311294408348
421,ClF5,ADDIonHF,2,-0.2725705591652
422,ClF5,ADDIonHF,3,4.5228294408348
423,ClF5,ADDIonHF,4,-0.1452705591652
424,ClF5,ADDIonHF,5,0.0424294408348
425,ClF5,ADDIonHF,6,4.7466294408348
426,ClF5,ADDIonHF,7,-0.0968705591652
427,ClF5,ADDIonHF,8,-0.0104705591652
428,ClF5,ADDIonHF,9,6.5132294408348
429,ClF5,ADDIonHF,mean,2.5520194408348003
430,ClF5,ADDIonHF,min,-0.2725705591652
431,ClF5,ADDIonHF,max,6.5132294408348
432,ClF5,ADDIonHF,range,6.7858
433,ClF5,bareSurface,0,-1.0335705591652
434,ClF5,bareSurface,1,-0.9531705591652
435,ClF5,bareSurface,2,-1.1669705591652
436,ClF5,bareSurface,3,-0.9485705591652
437,ClF5,bareSurface,4,-1.3229705591652
438,ClF5,bareSurface,5,-0.6676705591652
439,ClF5,bareSurface,6,-0.8918705591652
