    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     121        -721.2577        3528.0932         633.3045         778.5219         811.5492         309.8425           9.2950         -21.3164         -55.6540
     122        -721.2578        3528.0932         640.1652         760.6412         798.7557         361.0987          17.1409         -30.9511         -57.9127
     123        -721.2579        3528.0932         640.1968         761.9300         799.7627         358.8979          16.7305         -30.3844         -57.7876
     124        -721.2579        3528.0932         640.2622         764.3743         801.6443         354.7681          15.9639         -29.2681         -57.5537
     125        -721.2581        3528.0932         640.3782         767.7830         804.3141         349.0376          14.8937         -27.7176         -57.2454
     126        -721.2582        3528.0932         640.5646         771.9756         807.5384         342.1801          13.6487         -25.8615         -56.8679
     127        -721.2583        3528.0932         640.8354         776.4835         811.0513         334.9713          12.3000         -23.8829         -56.4573
     128        -721.2585        3528.0932         641.1555         780.8707         814.3790         328.2166          11.0736         -22.0063         -56.1128
     129        -721.2586        3528.0932         641.5527         784.6634         817.2469         322.7477          10.1139         -20.4448         -55.8230
     130        -721.2588        3528.0932         642.0533         787.7525         819.6005         318.8069           9.4697         -19.2572         -55.6642
     131        -721.2590        3528.0932         642.5933         789.5494         820.8285         317.4019           9.3375         -18.6882         -55.6491
     132        -721.2594        3528.0932         643.1701         789.5518         820.7072         319.2512           9.8578         -18.9384         -55.8336
     133        -721.2598        3528.0932         643.5851         787.4003         818.9193         324.4357          11.0314         -20.0357         -56.2156
     134        -721.2603        3528.0932         643.7148         783.4803         815.7841         331.8802          12.6813         -21.7285         -56.7238
     135        -721.2609        3528.0932         643.1716         778.8848         812.1860         338.4441          14.2252         -23.3050         -57.2240
     136        -721.2616        3528.0932         641.6407         775.4614         809.6974         339.7633          14.9055         -23.7711         -57.4660
     137        -721.2626        3528.0932         638.9041         774.8750         809.4593         332.3780          14.2430         -22.4474         -57.3633
     138        -721.2637        3528.0932         634.9937         776.9449         811.3652         316.6708          12.5088         -19.6729         -56.9759
     139        -721.2651        3528.0932         630.4942         778.5104         812.8696         300.1028          11.0916         -17.4286         -56.8042
     140        -721.2668        3528.0932         626.1932         774.7526         810.6656         293.1615          11.6718         -18.0661         -57.2669
     141        -721.2689        3528.0932         622.2086         764.9577         804.7105         296.9576          13.9485         -21.2768         -58.3791
     142        -721.2715        3528.0932         617.7826         757.6873         801.4525         294.2080          14.6517         -22.1069         -59.0376
     143        -721.2747        3528.0932         611.3122         759.8831         804.8205         269.2331          12.2240         -17.8879         -58.8651
     144        -721.2786        3528.0932         602.5270         758.5907         803.9034         245.0869          11.8177         -16.1214         -59.5282
     145        -721.2832        3528.0932         591.8032         739.8533         791.0046         244.5518          14.9441         -19.8319         -61.1473
     146        -721.2889        3528.0932         577.6974         734.6343         789.3509         209.1072          11.7528         -13.2640         -60.9313
     147        -721.2960        3528.0932         563.3122         727.5305         783.7897         178.6165          13.7389         -15.5157         -64.1313
     148        -721.3044        3528.0932         546.4030         696.8656         772.6782         169.6654          10.5294         -10.9983         -64.2183
     149        -721.3146        3528.0932         516.8068         727.3005         774.1927          48.9270          18.2606         -19.2083         -74.2734
     150        -721.3234        3528.0932         501.1352         505.8367         719.1597         278.4090         -12.4740          15.9559         -48.2410
     151        -721.2966        3528.0932         436.2032        1168.0675         822.6190        -682.0768         100.4942        -102.8000        -164.7369
     152        -721.3386        3528.0932         450.1205         490.5567         730.0943         129.7105         -15.1059          23.1061         -45.0435
     153        -721.3401        3528.0932         450.6805         532.1926         729.0657          90.7831          -6.7047          13.4815         -54.5536
     154        -721.3416        3528.0932         452.9376         603.9682         728.6727          26.1720           7.5842          -2.8240         -70.7505
     155        -721.3416        3528.0932         458.6411         683.5931         732.0060         -39.6756          22.8585         -19.9349         -87.9681
     156        -721.3416        3528.0932         459.0127         679.9857         732.6808         -35.6286          21.9912         -18.8912         -86.9575
     157        -721.3418        3528.0932         459.7757         673.0428         734.0896         -27.8052          20.3606         -16.8525         -85.0084
     158        -721.3419        3528.0932         460.8665         663.3740         736.0731         -16.8477          18.0689         -14.0338         -82.3171
     159        -721.3422        3528.0932         462.2921         652.0462         738.4921          -3.6618          15.3807         -10.6839         -79.1230
     160        -721.3423        3528.0932         463.9342         640.1990         741.1353          10.4685          12.5451          -7.1395         -75.7653
