    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     128       -1002.9442        4466.5536        1363.7954        1753.3835        1698.9070         639.0956          96.8414        -290.4748        -568.7886
     129       -1002.9453        4466.5536        1362.6937        1750.5094        1696.7982         640.7736          94.8158        -297.6671        -567.6836
     130       -1002.9467        4466.5536        1360.3385        1744.2394        1692.2667         644.5094          92.7426        -310.9942        -567.2278
     131       -1002.9482        4466.5536        1357.2651        1737.8142        1689.1733         644.8079          93.1227        -319.6152        -567.7707
     132       -1002.9502        4466.5536        1354.8871        1735.7114        1691.4958         637.4539          96.5169        -313.9886        -568.5905
     133       -1002.9526        4466.5536        1354.5573        1739.1672        1698.5146         625.9899          99.4207        -298.8904        -567.7227
     134       -1002.9554        4466.5536        1355.2096        1741.1359        1702.3287         622.1643          96.8465        -297.5556        -564.4917
     135       -1002.9589        4466.5536        1353.0929        1733.8104        1699.2643         626.2039          93.0487        -315.4791        -562.4521
     136       -1002.9631        4466.5536        1347.4811        1725.3702        1700.5436         616.5294          98.9246        -315.2441        -564.8523
     137       -1002.9682        4466.5536        1344.4813        1727.7683        1708.6885         596.9872         101.8436        -297.0633        -562.6929
     138       -1002.9744        4466.5536        1340.9528        1719.0027        1704.3967         599.4591          91.9592        -321.7461        -555.9005
     139       -1002.9817        4466.5536        1329.4384        1706.4429        1712.6720         569.2003         111.6303        -298.4102        -563.9507
     140       -1002.9902        4466.5536        1334.6229        1712.5983        1709.1414         582.1290          79.0882        -337.5567        -543.4490
     141       -1002.9980        4466.5536        1302.6542        1671.8921        1736.0061         500.0643         160.3096        -239.9411        -578.3522
     142       -1002.9919        4466.5536        1340.0702        1715.6683        1662.5626         641.9797         -41.8201        -521.1454        -490.0190
     143       -1003.0126        4466.5536        1295.3551        1669.5344        1718.0385         498.4928         124.2562        -275.9061        -565.5124
     144       -1003.0129        4466.5536        1296.7719        1670.3120        1716.1576         503.8459         119.6485        -285.1448        -561.2608
     145       -1003.0132        4466.5536        1299.4091        1671.8148        1713.1959         513.2162         111.7178        -300.9870        -553.8582
     146       -1003.0135        4466.5536        1302.8470        1673.9575        1710.6654         523.9182         103.0167        -318.2657        -545.4990
     147       -1003.0137        4466.5536        1306.1815        1676.3414        1710.1168         532.0863          96.9180        -330.1496        -539.3170
     148       -1003.0141        4466.5536        1308.6064        1678.4875        1712.0656         535.2661          95.3560        -332.8547        -537.2582
     149       -1003.0147        4466.5536        1309.7562        1680.0879        1716.1658         533.0149          98.5071        -326.1693        -539.6237
     150       -1003.0154        4466.5536        1309.6174        1680.9380        1721.3976         526.5168         105.0840        -312.8602        -545.3176
     151       -1003.0161        4466.5536        1308.2448        1680.7936        1726.3820         517.5589         113.1369        -297.0550        -552.6028
     152       -1003.0168        4466.5536        1306.0629        1679.3754        1728.0123         510.8010         117.8899        -288.4403        -557.0826
     153       -1003.0181        4466.5536        1303.6403        1676.7222        1724.3580         509.8408         115.8034        -293.8831        -555.1800
     154       -1003.0194        4466.5536        1301.3271        1673.0634        1716.6917         514.2265         107.3539        -311.5825        -546.6691
     155       -1003.0211        4466.5536        1298.6312        1669.0081        1711.3561         515.5294         101.3067        -323.1287        -539.1384
     156       -1003.0233        4466.5536        1295.0306        1665.5898        1713.8132         505.6889         106.3517        -311.5585        -542.0162
     157       -1003.0259        4466.5536        1292.0483        1663.5695        1721.0286         491.5469         117.7715        -289.4489        -552.8113
     158       -1003.0292        4466.5536        1292.1259        1662.3933        1720.2964         493.6877         115.4156        -298.8609        -551.5803
