    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     111       -1012.5955        4928.2438         679.9274         618.9701        1070.9144         349.8976         -85.2943         157.4013        -141.4154
     112       -1012.5960        4928.2438         679.0998         617.1880        1070.2821         349.8292         -86.7316         158.1148        -141.1532
     113       -1012.5966        4928.2438         677.9905         614.9068        1069.4048         349.6601         -88.5837         159.0121        -140.7713
     114       -1012.5972        4928.2438         677.5951         613.9606        1068.9244         349.9002         -89.6220         159.5140        -141.2197
     115       -1012.5980        4928.2438         678.4307         615.2952        1069.2223         350.7744         -89.1934         159.2837        -142.9632
     116       -1012.5990        4928.2438         679.4015         616.8441        1069.5580         351.8024         -88.6727         158.9724        -145.0166
     117       -1012.6002        4928.2438         678.5018         614.8554        1068.4816         352.1686         -90.6840         159.7194        -145.6165
     118       -1012.6016        4928.2438         676.7034         611.0824        1066.5653         352.4625         -94.1582         160.9472        -145.7305
     119       -1012.6033        4928.2438         677.5739         611.9789        1066.5497         354.1931         -94.5143         160.5394        -148.4360
     120       -1012.6053        4928.2438         677.6585         611.2471        1065.7178         356.0107         -96.1933         160.4552        -150.8969
     121       -1012.6077        4928.2438         674.0765         603.9236        1061.2786         357.0274        -103.0745         162.2802        -151.1396
     122       -1012.6105        4928.2438         678.0338         609.8879        1063.1456         361.0678        -100.0317         159.9700        -157.7085
     123       -1012.6136        4928.2438         662.5721         582.4072        1045.2035         360.1056        -124.2818         167.9209        -152.1357
     124       -1012.6168        4928.2438         699.3564         643.4640        1081.9384         372.6669         -74.0891         149.4699        -180.4955
     125       -1012.6144        4928.2438         582.8506         449.1812         945.3846         353.9861        -249.8805         204.8838        -123.3603
     126       -1012.6216        4928.2438         670.2358         592.7446        1047.4246         370.5381        -120.6562         164.7099        -169.6497
     127       -1012.6217        4928.2438         669.6242         591.6342        1046.7247         370.5137        -121.6844         165.0051        -169.3471
     128       -1012.6218        4928.2438         668.5980         589.7392        1045.5568         370.4979        -123.4521         165.4981        -168.8499
     129       -1012.6218        4928.2438         667.4943         587.6532        1044.3019         370.5278        -125.4135         166.0246        -168.3427
     130       -1012.6219        4928.2438         666.7202         586.0591        1043.4399         370.6617        -126.9433         166.3873        -168.0248
     131       -1012.6221        4928.2438         666.5458         585.4547        1043.2720         370.9109        -127.5844         166.4340        -168.0509
     132       -1012.6223        4928.2438         667.0247         585.9649        1043.8416         371.2678        -127.2375         166.1642        -168.4434
     133       -1012.6226        4928.2438         667.8967         587.1796        1044.8518         371.6588        -126.2532         165.6771        -169.0691
     134       -1012.6227        4928.2438         668.7790         588.4777        1045.8239         372.0355        -125.2128         165.1660        -169.7691
     135       -1012.6230        4928.2438         668.9686         588.7231        1045.9164         372.2661        -125.1657         164.9761        -170.1899
     136       -1012.6234        4928.2438         667.9232         587.0114        1044.4891         372.2689        -126.9376         165.3836        -170.1002
     137       -1012.6238        4928.2438         666.0010         583.9119        1041.9515         372.1395        -130.0374         166.2747        -169.7318
     138       -1012.6245        4928.2438         664.6685         581.8234        1040.0687         372.1134        -132.2876         167.0039        -169.8415
